epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.11714,3.67372,7.24141,1.56268,0,0,0,0,2.64418,4.82477,1.16407,7.056e-05,7.056e-05,7.056e-05
2,5.31678,2.5513,5.77509,1.07517,0,0,0,0,1.86943,4.61724,0.91488,0.000145545,0.000145545,0.000145545
3,7.46024,2.01893,4.63777,0.93323,0.00769,0.27573,0.04713,0.02215,1.79068,4.1208,0.898,0.000219016,0.000219016,0.000219016
4,9.57465,1.85411,3.7462,0.90627,0.01233,0.38875,0.05476,0.03136,1.63103,3.83144,0.87529,0.000290974,0.000290974,0.000290974
5,11.5907,1.75608,3.37625,0.88977,0.031,0.61525,0.10672,0.06362,1.59371,3.63592,0.86815,0.000361418,0.000361418,0.000361418
6,13.6633,1.68313,3.09628,0.88355,0.05438,0.77346,0.18587,0.10817,1.47432,3.43415,0.85353,0.000430348,0.000430348,0.000430348
7,15.7091,1.60611,2.962,0.88764,0.06021,0.8403,0.23321,0.13978,1.44958,3.25257,0.85445,0.000497766,0.000497766,0.000497766
8,17.7591,1.63162,2.80974,0.87214,0.05992,0.91148,0.25761,0.12268,1.69353,3.09037,0.87912,0.000547252,0.000547252,0.000547252
9,19.7502,1.62862,2.66339,0.87309,0.21634,0.74279,0.36726,0.21558,1.36753,2.52778,0.84409,0.00054143,0.00054143,0.00054143
10,21.7732,1.56163,2.46535,0.86977,0.48649,0.45669,0.48436,0.27864,1.3971,1.95794,0.84291,0.000535609,0.000535609,0.000535609
11,23.7927,1.51899,2.35786,0.86272,0.48601,0.37783,0.44514,0.27644,1.31873,2.09307,0.83867,0.000529788,0.000529788,0.000529788
12,25.7993,1.5268,2.21282,0.85936,0.51626,0.49582,0.53392,0.31635,1.369,1.89055,0.84205,0.000523967,0.000523967,0.000523967
13,27.792,1.50689,2.14111,0.8626,0.55301,0.56065,0.59823,0.3749,1.29694,1.74909,0.83766,0.000518146,0.000518146,0.000518146
14,29.8022,1.40154,1.99197,0.85616,0.55743,0.46256,0.59392,0.37547,1.26784,1.84678,0.83333,0.000512324,0.000512324,0.000512324
15,31.8059,1.45694,1.94196,0.85764,0.54942,0.66705,0.66231,0.43171,1.25535,1.52602,0.83264,0.000506503,0.000506503,0.000506503
16,33.8321,1.46071,1.88126,0.85664,0.54689,0.61192,0.64228,0.41258,1.26476,1.53318,0.83614,0.000500682,0.000500682,0.000500682
17,35.8214,1.46688,1.83074,0.85524,0.66005,0.74986,0.75665,0.46479,1.26849,1.26946,0.82886,0.000494861,0.000494861,0.000494861
18,37.8529,1.37757,1.69157,0.85628,0.64346,0.71844,0.72659,0.45094,1.24397,1.2964,0.83256,0.00048904,0.00048904,0.00048904
19,39.8441,1.36256,1.6368,0.84696,0.7016,0.75891,0.80611,0.50561,1.24977,1.06139,0.82998,0.000483218,0.000483218,0.000483218
20,41.8566,1.38711,1.60434,0.85164,0.71829,0.80359,0.84863,0.53784,1.24466,1.02187,0.83036,0.000477397,0.000477397,0.000477397
21,43.8685,1.40512,1.58666,0.85011,0.75834,0.75671,0.85114,0.55784,1.20734,1.03413,0.82613,0.000471576,0.000471576,0.000471576
22,45.8846,1.38719,1.52948,0.84992,0.78738,0.77549,0.87737,0.5704,1.22128,0.99641,0.82954,0.000465755,0.000465755,0.000465755
23,47.8992,1.34455,1.44387,0.84744,0.76955,0.80239,0.86783,0.54658,1.25061,0.95501,0.82879,0.000459934,0.000459934,0.000459934
24,49.92,1.33761,1.3919,0.8396,0.82871,0.80072,0.89666,0.57122,1.21395,0.86962,0.82513,0.000454112,0.000454112,0.000454112
25,51.9032,1.34693,1.41114,0.84268,0.77948,0.83458,0.88041,0.57258,1.20367,0.91163,0.82645,0.000448291,0.000448291,0.000448291
26,53.918,1.32626,1.35449,0.84761,0.783,0.8403,0.89586,0.58246,1.19108,0.88312,0.82431,0.00044247,0.00044247,0.00044247
27,55.9369,1.31577,1.29633,0.84558,0.8203,0.81841,0.89962,0.58264,1.21333,0.86802,0.83247,0.000436649,0.000436649,0.000436649
28,57.9642,1.33164,1.30375,0.84775,0.83673,0.86015,0.90676,0.58417,1.22082,0.80986,0.8297,0.000430828,0.000430828,0.000430828
29,60.0193,1.33469,1.28847,0.85044,0.82307,0.83335,0.91661,0.58466,1.23169,0.81228,0.82972,0.000425006,0.000425006,0.000425006
30,62.0365,1.34445,1.23646,0.83957,0.76221,0.81578,0.86114,0.55355,1.20484,0.96544,0.83003,0.000419185,0.000419185,0.000419185
31,64.0411,1.33011,1.23552,0.85054,0.86628,0.85626,0.92167,0.60109,1.18077,0.75902,0.82689,0.000413364,0.000413364,0.000413364
32,66.0527,1.29188,1.16913,0.84201,0.8128,0.83292,0.90952,0.59327,1.17147,0.80683,0.82877,0.000407543,0.000407543,0.000407543
33,68.0637,1.30232,1.19499,0.84167,0.90221,0.84829,0.93299,0.6197,1.17203,0.74456,0.82482,0.000401722,0.000401722,0.000401722
34,70.0746,1.28067,1.14325,0.83737,0.87071,0.86966,0.93102,0.61086,1.1561,0.76426,0.81997,0.0003959,0.0003959,0.0003959
35,72.0826,1.24908,1.09902,0.83997,0.80081,0.86361,0.92343,0.59975,1.16479,0.78405,0.82286,0.000390079,0.000390079,0.000390079
36,74.1512,1.25012,1.08232,0.83527,0.82556,0.8457,0.9148,0.60145,1.14543,0.8054,0.82464,0.000384258,0.000384258,0.000384258
37,76.175,1.24909,1.07632,0.82858,0.87538,0.82065,0.91883,0.60401,1.17848,0.76951,0.82478,0.000378437,0.000378437,0.000378437
38,78.196,1.23958,1.05663,0.83926,0.8213,0.83616,0.90729,0.59277,1.18494,0.80714,0.82746,0.000372616,0.000372616,0.000372616
39,80.1936,1.21237,1.00278,0.82521,0.89423,0.86123,0.93619,0.61293,1.21193,0.75773,0.83214,0.000366794,0.000366794,0.000366794
40,82.2035,1.24432,1.01837,0.8402,0.9065,0.87894,0.9472,0.62762,1.17587,0.75687,0.82582,0.000360973,0.000360973,0.000360973
41,84.2191,1.23199,1.01184,0.82912,0.90933,0.86998,0.95008,0.62194,1.14996,0.69058,0.81943,0.000355152,0.000355152,0.000355152
42,86.2434,1.20219,0.96425,0.83295,0.88924,0.87606,0.94456,0.62456,1.13625,0.70789,0.82067,0.000349331,0.000349331,0.000349331
43,88.2368,1.27602,1.02556,0.83401,0.86979,0.88521,0.93935,0.62992,1.13544,0.72757,0.82034,0.00034351,0.00034351,0.00034351
44,90.2834,1.23857,0.98367,0.8321,0.89975,0.85928,0.94558,0.63107,1.11458,0.7228,0.81825,0.000337688,0.000337688,0.000337688
45,92.2937,1.1752,0.93308,0.83011,0.9081,0.89688,0.9532,0.62843,1.16713,0.70243,0.82156,0.000331867,0.000331867,0.000331867
46,94.3271,1.23815,0.98088,0.83099,0.93577,0.83542,0.95218,0.62896,1.15962,0.70604,0.82345,0.000326046,0.000326046,0.000326046
47,96.358,1.2491,0.96813,0.833,0.92973,0.86981,0.95738,0.63619,1.14966,0.70324,0.82136,0.000320225,0.000320225,0.000320225
48,98.3941,1.22823,0.94981,0.83455,0.90015,0.90997,0.96728,0.64561,1.14134,0.67534,0.81901,0.000314404,0.000314404,0.000314404
49,100.417,1.19137,0.92303,0.82407,0.94534,0.86689,0.96016,0.65106,1.13658,0.67137,0.81961,0.000308582,0.000308582,0.000308582
50,102.448,1.22122,0.92825,0.82799,0.94843,0.82061,0.95232,0.64261,1.1396,0.68441,0.82134,0.000302761,0.000302761,0.000302761
51,104.448,1.19116,0.89426,0.83131,0.91861,0.92867,0.97087,0.64278,1.154,0.6345,0.82069,0.00029694,0.00029694,0.00029694
52,106.458,1.19867,0.91079,0.8263,0.95459,0.85342,0.96135,0.63567,1.16091,0.64893,0.82157,0.000291119,0.000291119,0.000291119
53,108.442,1.22373,0.88873,0.83401,0.92912,0.88131,0.96362,0.63711,1.14385,0.65172,0.82079,0.000285298,0.000285298,0.000285298
54,110.465,1.20546,0.89642,0.8292,0.92296,0.91762,0.97316,0.65285,1.14895,0.63572,0.81956,0.000279476,0.000279476,0.000279476
55,112.477,1.18502,0.84459,0.82665,0.95509,0.89617,0.97218,0.6536,1.13777,0.6333,0.82234,0.000273655,0.000273655,0.000273655
56,114.48,1.1844,0.84888,0.83043,0.937,0.89027,0.97121,0.64977,1.16068,0.64164,0.81999,0.000267834,0.000267834,0.000267834
57,116.462,1.15757,0.83747,0.827,0.94707,0.8779,0.96599,0.63746,1.1827,0.65101,0.82246,0.000262013,0.000262013,0.000262013
58,118.483,1.12921,0.81082,0.82388,0.92982,0.91398,0.96608,0.65151,1.13297,0.65332,0.81662,0.000256192,0.000256192,0.000256192
59,120.514,1.17795,0.86168,0.83088,0.90514,0.90618,0.95262,0.64378,1.12906,0.66614,0.81868,0.00025037,0.00025037,0.00025037
60,122.541,1.14695,0.82355,0.82504,0.93145,0.87474,0.96472,0.65373,1.11718,0.63353,0.81746,0.000244549,0.000244549,0.000244549
