epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.5899,1.75021,5.68683,1.23982,0.00427,0.73077,0.0389,0.01775,1.18103,4.14056,0.88607,0.000147,0.000147,0.000147
2,8.8724,1.25934,4.04277,0.97345,0.00378,0.97115,0.18658,0.12656,0.94641,3.67346,0.85962,0.000296911,0.000296911,0.000296911
3,13.4557,1.10064,2.99925,0.94803,0.00759,1,0.75713,0.57539,0.89287,3.21515,0.87996,0.000443795,0.000443795,0.000443795
4,18.7505,1.07278,2.43966,0.96672,0.99548,0.3664,0.96133,0.74103,0.90877,2.30007,0.91151,0.000570536,0.000570536,0.000570536
5,23.5566,0.99751,1.89674,0.93736,0.92731,0.96758,0.97478,0.78098,0.82619,1.30531,0.89317,0.000564715,0.000564715,0.000564715
6,27.5773,0.96566,1.71531,0.94373,0.88826,0.93669,0.99035,0.75975,0.90189,0.96669,0.92869,0.000558894,0.000558894,0.000558894
7,31.5571,0.91953,1.54295,0.93563,0.92007,0.99913,0.995,0.79808,0.80282,0.72792,0.88944,0.000553073,0.000553073,0.000553073
8,35.6506,0.89642,1.36724,0.91042,0.95743,0.97815,0.995,0.81532,0.77705,0.62043,0.8835,0.000547252,0.000547252,0.000547252
9,39.6727,0.84758,1.29136,0.90456,0.94367,0.99488,0.99397,0.82284,0.75197,0.60916,0.8898,0.00054143,0.00054143,0.00054143
10,43.5671,0.85329,1.25735,0.90826,0.94114,0.98993,0.995,0.84016,0.69972,0.57072,0.86708,0.000535609,0.000535609,0.000535609
11,47.4945,0.82553,1.15761,0.89679,0.96404,0.98254,0.995,0.84698,0.66762,0.53215,0.86172,0.000529788,0.000529788,0.000529788
12,51.4053,0.79583,1.091,0.90335,0.97211,0.98843,0.995,0.84329,0.71089,0.52871,0.86971,0.000523967,0.000523967,0.000523967
13,55.3176,0.80614,1.0575,0.89406,0.97618,0.99209,0.995,0.85133,0.65437,0.52498,0.86266,0.000518146,0.000518146,0.000518146
14,59.2489,0.7854,0.98529,0.89499,0.97121,0.99048,0.995,0.84522,0.66116,0.51987,0.86103,0.000512324,0.000512324,0.000512324
15,63.2314,0.78299,0.94229,0.89205,0.98615,0.9758,0.995,0.85482,0.67427,0.54373,0.86215,0.000506503,0.000506503,0.000506503
16,67.1135,0.76616,0.89745,0.89257,0.94721,0.9922,0.995,0.85565,0.64993,0.48869,0.86078,0.000500682,0.000500682,0.000500682
17,71.0102,0.73278,0.85949,0.88419,0.96944,0.97364,0.995,0.85254,0.64361,0.49233,0.85184,0.000494861,0.000494861,0.000494861
18,75.044,0.72319,0.83216,0.87843,0.96187,1,0.995,0.8705,0.60609,0.48075,0.83932,0.00048904,0.00048904,0.00048904
19,79.1069,0.74785,0.83577,0.88727,0.98577,0.9996,0.995,0.86352,0.61937,0.47641,0.84371,0.000483218,0.000483218,0.000483218
20,83.0433,0.74414,0.80092,0.88832,0.97175,0.99611,0.995,0.8583,0.61438,0.48636,0.84507,0.000477397,0.000477397,0.000477397
21,86.9649,0.70893,0.77675,0.87028,0.97923,0.99232,0.995,0.86295,0.59502,0.44832,0.84878,0.000471576,0.000471576,0.000471576
22,90.84,0.69388,0.7405,0.87507,0.98534,1,0.995,0.82174,0.68577,0.44934,0.87672,0.000465755,0.000465755,0.000465755
23,94.6928,0.69732,0.75195,0.87267,0.97646,0.99806,0.995,0.86578,0.58773,0.43852,0.84378,0.000459934,0.000459934,0.000459934
24,98.6201,0.69004,0.70164,0.87199,0.9845,0.99707,0.995,0.86943,0.58706,0.4201,0.84769,0.000454112,0.000454112,0.000454112
25,102.656,0.67321,0.67737,0.8683,0.97585,0.99762,0.995,0.87589,0.54017,0.4161,0.83465,0.000448291,0.000448291,0.000448291
26,106.593,0.6592,0.64454,0.86719,0.97048,0.99363,0.995,0.87969,0.56053,0.42261,0.83293,0.00044247,0.00044247,0.00044247
27,110.579,0.6582,0.64774,0.86166,0.96925,1,0.995,0.86966,0.58616,0.41507,0.84455,0.000436649,0.000436649,0.000436649
28,114.545,0.65997,0.64193,0.87125,0.97385,0.99709,0.995,0.87972,0.549,0.41425,0.83335,0.000430828,0.000430828,0.000430828
29,118.462,0.6551,0.62995,0.85691,0.97479,0.99442,0.995,0.87371,0.57844,0.39371,0.84417,0.000425006,0.000425006,0.000425006
30,122.393,0.65054,0.61539,0.86361,0.98015,0.99309,0.995,0.88292,0.5294,0.38254,0.82774,0.000419185,0.000419185,0.000419185
31,126.325,0.63045,0.59575,0.85463,0.98624,1,0.995,0.8896,0.51627,0.35748,0.82265,0.000413364,0.000413364,0.000413364
32,130.231,0.63296,0.57779,0.85153,0.99072,1,0.995,0.89187,0.50344,0.37044,0.82256,0.000407543,0.000407543,0.000407543
33,134.163,0.65403,0.59252,0.85441,0.98051,0.99689,0.995,0.88685,0.52402,0.39042,0.82596,0.000401722,0.000401722,0.000401722
34,138.119,0.63573,0.57397,0.85319,0.977,1,0.995,0.88536,0.54508,0.36645,0.82981,0.0003959,0.0003959,0.0003959
35,141.989,0.61383,0.55177,0.84954,0.98197,1,0.995,0.8906,0.49684,0.36289,0.81881,0.000390079,0.000390079,0.000390079
36,145.862,0.60681,0.5549,0.85689,0.98822,0.99887,0.995,0.89649,0.5066,0.35377,0.82721,0.000384258,0.000384258,0.000384258
37,149.79,0.61753,0.53425,0.84907,0.98507,1,0.995,0.88627,0.52125,0.35971,0.82691,0.000378437,0.000378437,0.000378437
38,153.652,0.61258,0.52676,0.85901,0.99036,1,0.995,0.88376,0.51735,0.35029,0.82562,0.000372616,0.000372616,0.000372616
39,157.556,0.62928,0.53895,0.86244,0.99025,1,0.995,0.90238,0.49258,0.35062,0.82363,0.000366794,0.000366794,0.000366794
40,161.472,0.60004,0.51201,0.84624,0.98036,1,0.995,0.90215,0.49636,0.34205,0.82452,0.000360973,0.000360973,0.000360973
41,165.525,0.62481,0.52816,0.86096,0.99102,1,0.995,0.89263,0.51313,0.33908,0.8299,0.000355152,0.000355152,0.000355152
42,169.431,0.60891,0.51714,0.84724,0.98112,1,0.995,0.88783,0.52811,0.34642,0.83481,0.000349331,0.000349331,0.000349331
43,173.39,0.61901,0.5063,0.85961,0.98955,0.99822,0.995,0.89585,0.48163,0.33582,0.81917,0.00034351,0.00034351,0.00034351
44,177.29,0.58658,0.48372,0.84652,0.98346,0.99812,0.995,0.90258,0.47198,0.32789,0.82094,0.000337688,0.000337688,0.000337688
45,181.19,0.5935,0.50489,0.84717,0.99076,1,0.995,0.90767,0.46152,0.32006,0.8142,0.000331867,0.000331867,0.000331867
46,185.144,0.58116,0.4827,0.85044,0.98909,1,0.995,0.91429,0.48396,0.32041,0.82149,0.000326046,0.000326046,0.000326046
47,189.086,0.58993,0.50177,0.84581,0.99187,1,0.995,0.90522,0.46435,0.31585,0.81512,0.000320225,0.000320225,0.000320225
48,193.044,0.58358,0.48207,0.85161,0.98931,1,0.995,0.8804,0.50246,0.33139,0.82486,0.000314404,0.000314404,0.000314404
49,196.963,0.59374,0.4712,0.85501,0.98864,1,0.995,0.89194,0.52032,0.32615,0.82781,0.000308582,0.000308582,0.000308582
50,200.89,0.57786,0.46058,0.84164,0.98998,1,0.995,0.90691,0.48965,0.32218,0.82322,0.000302761,0.000302761,0.000302761
51,204.794,0.57299,0.46342,0.85144,0.9895,1,0.995,0.87782,0.53831,0.3204,0.83926,0.00029694,0.00029694,0.00029694
52,208.757,0.57684,0.4606,0.84158,0.98964,1,0.995,0.91465,0.4515,0.30294,0.81408,0.000291119,0.000291119,0.000291119
53,212.739,0.58527,0.45992,0.844,0.99034,1,0.995,0.89687,0.495,0.32234,0.82518,0.000285298,0.000285298,0.000285298
54,216.695,0.57435,0.45965,0.84796,0.98625,1,0.995,0.89427,0.48766,0.31267,0.82286,0.000279476,0.000279476,0.000279476
55,220.665,0.56597,0.43233,0.84565,0.99018,1,0.995,0.90519,0.47886,0.29701,0.82145,0.000273655,0.000273655,0.000273655
56,224.572,0.55381,0.44088,0.83788,0.99138,1,0.995,0.8923,0.51016,0.31377,0.83053,0.000267834,0.000267834,0.000267834
57,228.512,0.57326,0.44471,0.8406,0.9893,0.99991,0.995,0.90714,0.48912,0.30059,0.82526,0.000262013,0.000262013,0.000262013
58,232.433,0.57499,0.44829,0.84604,0.99146,1,0.995,0.8972,0.46576,0.29397,0.81516,0.000256192,0.000256192,0.000256192
59,236.363,0.5358,0.419,0.83662,0.9902,1,0.995,0.9075,0.47859,0.31074,0.81721,0.00025037,0.00025037,0.00025037
60,240.323,0.53234,0.43452,0.83377,0.98628,1,0.995,0.90847,0.47391,0.29989,0.82193,0.000244549,0.000244549,0.000244549
61,244.251,0.54577,0.42903,0.8289,0.99046,1,0.995,0.89943,0.46947,0.30157,0.82171,0.000238728,0.000238728,0.000238728
62,248.147,0.54314,0.41384,0.83983,0.98855,1,0.995,0.91555,0.45647,0.29177,0.81493,0.000232907,0.000232907,0.000232907
63,252.053,0.53834,0.41976,0.84091,0.99157,1,0.995,0.90838,0.44169,0.28482,0.81233,0.000227086,0.000227086,0.000227086
64,256.022,0.53416,0.40413,0.83655,0.98938,1,0.995,0.91462,0.44198,0.29128,0.81359,0.000221264,0.000221264,0.000221264
65,259.878,0.5465,0.42955,0.84329,0.98843,1,0.995,0.92339,0.41832,0.28409,0.80866,0.000215443,0.000215443,0.000215443
66,263.759,0.52008,0.40048,0.82862,0.99131,1,0.995,0.92197,0.43182,0.27789,0.8126,0.000209622,0.000209622,0.000209622
67,267.628,0.51689,0.40423,0.8323,0.98864,1,0.995,0.91384,0.45869,0.28395,0.81777,0.000203801,0.000203801,0.000203801
68,271.569,0.52286,0.41032,0.82853,0.99201,1,0.995,0.92333,0.41642,0.27657,0.80736,0.00019798,0.00019798,0.00019798
69,275.461,0.52103,0.40063,0.83135,0.98955,1,0.995,0.92536,0.42811,0.2737,0.81185,0.000192158,0.000192158,0.000192158
70,279.389,0.52791,0.40627,0.83174,0.99209,1,0.995,0.91835,0.44116,0.27362,0.81539,0.000186337,0.000186337,0.000186337
71,283.336,0.49532,0.38622,0.82281,0.98819,1,0.995,0.91845,0.43964,0.27073,0.81073,0.000180516,0.000180516,0.000180516
72,287.252,0.51076,0.38571,0.83041,0.98602,1,0.995,0.92927,0.40344,0.25949,0.80338,0.000174695,0.000174695,0.000174695
73,291.224,0.51129,0.387,0.8305,0.9859,0.99951,0.995,0.90181,0.45647,0.27829,0.8142,0.000168874,0.000168874,0.000168874
74,295.134,0.49332,0.38433,0.82844,0.98945,1,0.995,0.92299,0.41114,0.25636,0.80529,0.000163052,0.000163052,0.000163052
75,299.044,0.50021,0.39622,0.83393,0.99038,1,0.995,0.93134,0.39434,0.25167,0.80278,0.000157231,0.000157231,0.000157231
76,302.923,0.50563,0.38081,0.83158,0.98966,1,0.995,0.92915,0.40398,0.26478,0.80225,0.00015141,0.00015141,0.00015141
